Cookies;Product;Price;Transaction;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;1;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;1;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;1;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;1;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;1;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;1;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;1;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;1;
0;0; 120   ;0;
1;0; 100   ;1;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;1;
0;0; 100   ;1;
1;0; 120   ;0;
0;0; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;1;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;1;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;1;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;1;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;1;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;1;
1;0; 100   ;0;
0;0; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;1;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
0;0; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;1;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;1; 100   ;0;
0;1; 100   ;0;
1;1; 120   ;0;
0;1; 120   ;0;
1;0; 100   ;0;
0;0; 100   ;0;
1;0; 120   ;0;
